team,nationality,position,age,potential,name
Juventus ,France,Medio Centro Defensivo|Medio Centro,25,Muy bueno,Adrien Rabiot
D. Alavés ,Spain,Portero,28,Muy bueno,Pacheco
Torino ,Italy,Delantero Centro,26,Muy bueno,Andrea Belotti
Borussia Dortmund ,Germany,Medio Centro Defensivo|Medio Centro,26,Muy bueno,Emre Can
Villarreal CF ,Spain,Delantero Centro|Medio Derecho,28,Muy bueno,Gerard Moreno
Atlanta United ,Venezuela,Delantero Centro,27,Muy bueno,Josef Martínez
Borussia Mönchengladbach ,Germany,Defensa Central,26,Muy bueno,Matthias Ginter
Real Betis ,Portugal,Medio Centro Defensivo|Medio Centro,28,Muy bueno,William Carvalho
West Ham United ,France,Delantero Centro,26,Muy bueno,Sébastien Haller
Chelsea ,Germany,Defensa Central,27,Muy bueno,Antonio Rüdiger
Bayer 04 Leverkusen ,Germany,Medio Derecho,30,Muy bueno,Karim Bellarabi
Paris Saint-Germain ,Germany,Medio Centro|Medio Centro Ofensivo|Extremo Izquierdo,26,Muy bueno,Julian Draxler
West Ham United ,Brazil,Medio Izquierdo|Medio Centro Ofensivo,27,Muy bueno,Felipe Anderson
Tottenham Hotspur ,Brazil,Medio Derecho|Media Punta,27,Muy bueno,Lucas Moura
FC Porto ,Portugal,Medio Centro Defensivo|Medio Centro,28,Muy bueno,Danilo Pereira
Real Madrid ,Spain,Lateral Derecho|LB|Defensa Central,30,Muy bueno,Nacho Fernández
Bayer 04 Leverkusen ,Germany,Delantero Centro|Extremo Derecho|Extremo Izquierdo,27,Muy bueno,Kevin Volland
Villarreal CF ,Spain,Delantero Centro,26,Muy bueno,Paco Alcácer
Valencia CF ,Netherlands,Portero,31,Muy bueno,Jasper Cillessen
FC Barcelona ,Spain,Lateral Derecho|Medio Centro,28,Muy bueno,Sergi Roberto
Beijing Sinobo Guoan FC ,DR Congo,Delantero Centro,29,Muy bueno,Cédric Bakambu
Genoa ,Italy,Portero,27,Muy bueno,Mattia Perin
Real Sociedad ,Brazil,Delantero Centro,28,Muy bueno,Willian José
TSG 1899 Hoffenheim ,Germany,Portero,30,Muy bueno,Oliver Baumann
